scheme_code,nav_value,date
143704,15.4696,2023-08-24
143704,15.4633,2023-08-25
143704,15.5051,2023-08-28
143704,15.5253,2023-08-29
143704,15.5259,2023-08-30
143704,15.5288,2023-08-31
143704,15.5334,2023-09-01
143704,15.515,2023-09-04
143704,15.5192,2023-09-05
143704,15.531,2023-09-06
143704,15.5631,2023-09-07
143704,15.5347,2023-09-08
143704,15.501,2023-09-11
143704,15.5175,2023-09-12
143704,15.5441,2023-09-13
143704,15.6218,2023-09-14
143704,15.5474,2023-09-15
143704,15.5878,2023-09-18
143704,15.6219,2023-09-20
143704,15.6166,2023-09-21
143704,15.6042,2023-09-22
143704,15.6134,2023-09-25
143704,15.6116,2023-09-26
143704,15.6053,2023-09-27
143704,15.4934,2023-09-29
143704,15.4763,2023-10-03
143704,15.4656,2023-10-04
143704,15.5098,2023-10-05
143704,15.3266,2023-10-06
143704,15.2999,2023-10-09
143704,15.3283,2023-10-10
143704,15.3708,2023-10-11
143704,15.3669,2023-10-12
143704,15.3664,2023-10-13
143704,15.3579,2023-10-16
143704,15.3743,2023-10-17
143704,15.3609,2023-10-18
143704,15.342,2023-10-19
143704,15.3394,2023-10-20
143704,15.3272,2023-10-23
143704,15.3896,2023-10-25
143704,15.3613,2023-10-26
143704,15.3867,2023-10-27
143704,15.3876,2023-10-30
143704,15.4096,2023-10-31
143704,15.4018,2023-11-01
143704,15.4496,2023-11-02
143704,15.4762,2023-11-03
143704,15.5001,2023-11-06
143704,15.5241,2023-11-07
143704,15.5347,2023-11-08
143704,15.5228,2023-11-09
143704,15.4684,2023-11-10
143704,15.5042,2023-11-13
143704,15.592,2023-11-15
143704,15.5939,2023-11-16
143704,15.5976,2023-11-17
143704,15.5848,2023-11-20
143704,15.5849,2023-11-21
143704,15.5773,2023-11-22
143704,15.5849,2023-11-23
143704,15.5096,2023-11-24
143704,15.5121,2023-11-28
143704,15.5487,2023-11-29
143704,15.5562,2023-11-30
143704,15.5088,2023-12-01
143704,15.5286,2023-12-04
143704,15.5477,2023-12-05
143704,15.5916,2023-12-06
143704,15.6092,2023-12-07
143704,15.5758,2023-12-08
143704,15.58,2023-12-11
143704,15.5834,2023-12-12
143704,15.6127,2023-12-13
143704,15.7187,2023-12-14
143704,15.76,2023-12-15
143704,15.7754,2023-12-18
143704,15.7595,2023-12-19
143704,15.7578,2023-12-20
143704,15.7224,2023-12-21
143704,15.7009,2023-12-22
143704,15.714,2023-12-26
143704,15.7044,2023-12-27
143704,15.7038,2023-12-28
143704,15.7345,2023-12-29
143704,15.7066,2024-01-01
143704,15.6916,2024-01-02
143704,15.6901,2024-01-03
143704,15.6799,2024-01-04
143704,15.6709,2024-01-05
143704,15.7423,2024-01-08
143704,15.7617,2024-01-09
143704,15.7911,2024-01-10
143704,15.8129,2024-01-11
143704,15.7994,2024-01-12
143704,15.8724,2024-01-15
143704,15.8816,2024-01-16
143704,15.8772,2024-01-17
143704,15.8457,2024-01-18
143704,15.8667,2024-01-19
143704,15.9037,2024-01-23
143704,15.9057,2024-01-24
143704,15.9394,2024-01-25
143704,15.9868,2024-01-29
143704,16.0061,2024-01-30
143704,16.0391,2024-01-31
143704,16.1817,2024-02-01
143704,16.2352,2024-02-02
143704,16.242,2024-02-05
143704,16.2584,2024-02-06
143704,16.2799,2024-02-07
143704,16.2952,2024-02-08
143704,16.2586,2024-02-09
143704,16.2555,2024-02-12
143704,16.2492,2024-02-13
143704,16.2327,2024-02-14
143704,16.3155,2024-02-15
143704,16.3139,2024-02-16
143704,16.3218,2024-02-20
143704,16.3231,2024-02-21
143704,16.2993,2024-02-22
143704,16.3043,2024-02-23
143704,16.3056,2024-02-26
143704,16.3149,2024-02-27
143704,16.3157,2024-02-28
143704,16.3158,2024-02-29
143704,16.3221,2024-03-01
143704,16.3442,2024-03-04
143704,16.357,2024-03-05
143704,16.3581,2024-03-06
143704,16.4175,2024-03-07
143704,16.4381,2024-03-11
143704,16.4203,2024-03-12
143704,16.4062,2024-03-13
143704,16.3989,2024-03-14
143704,16.3891,2024-03-15
143704,16.3687,2024-03-18
143704,16.3834,2024-03-19
143704,16.3569,2024-03-20
143704,16.4075,2024-03-21
143704,16.3682,2024-03-22
143704,16.3724,2024-03-26
143704,16.3731,2024-03-27
143704,16.4583,2024-03-28
143704,16.4643,2024-03-31
143704,16.3813,2024-04-02
143704,16.3858,2024-04-03
143704,16.3794,2024-04-04
143704,16.3736,2024-04-05
143704,16.3203,2024-04-08
143704,16.3673,2024-04-10
151548,10.0042,2023-03-29
151548,9.99,2023-03-31
151548,10.0115,2023-04-03
151548,9.9978,2023-04-05
151548,9.9734,2023-04-06
151548,9.9868,2023-04-11
151548,9.9846,2023-04-12
151548,9.9762,2023-04-13
151548,9.9733,2023-04-17
151548,9.99,2023-04-18
151548,9.9958,2023-04-19
151548,10.0055,2023-04-21
151548,9.9938,2023-04-24
151548,9.9793,2023-04-25
151548,9.981,2023-04-26
151548,9.9545,2023-04-27
151548,9.969,2023-04-28
151548,9.9647,2023-05-02
151548,9.9796,2023-05-03
151548,9.9706,2023-05-04
151548,9.9722,2023-05-05
151548,10.0067,2023-05-09
151548,10.0073,2023-05-10
151548,10.0136,2023-05-11
151548,10.0294,2023-05-12
151548,10.0452,2023-05-15
151548,10.0426,2023-05-16
151548,10.0557,2023-05-17
151548,10.0721,2023-05-18
151548,10.1014,2023-05-19
151548,10.1097,2023-05-22
151548,10.1114,2023-05-23
151548,10.0994,2023-05-24
151548,10.1034,2023-05-25
151548,10.1022,2023-05-26
151548,10.1024,2023-05-31
151548,10.0782,2023-06-01
151548,10.0659,2023-06-02
151548,10.0953,2023-06-05
151548,10.1057,2023-06-06
151548,10.0943,2023-06-07
151548,10.1031,2023-06-08
151548,10.0873,2023-06-09
151548,10.09,2023-06-12
151548,10.0837,2023-06-13
151548,10.0744,2023-06-14
151548,10.0295,2023-06-16
151548,10.0406,2023-06-19
151548,10.058,2023-06-20
151548,10.0571,2023-06-21
151548,10.0382,2023-06-22
151548,10.0574,2023-06-23
151548,10.05,2023-06-26
151548,10.0502,2023-06-27
151548,10.0577,2023-06-28
151548,10.0643,2023-06-30
151548,10.0467,2023-07-03
151548,10.084,2023-07-05
151548,10.1254,2023-07-06
151548,10.181,2023-07-07
151548,10.1158,2023-07-11
151548,10.1083,2023-07-12
151548,10.0938,2023-07-14
151548,10.0878,2023-07-18
151548,10.0968,2023-07-19
151548,10.0928,2023-07-20
151548,10.094,2023-07-21
151548,10.0813,2023-07-24
151548,10.0681,2023-07-25
151548,10.0916,2023-07-26
151548,10.095,2023-07-27
151548,10.1286,2023-07-28
151548,10.1314,2023-07-31
151548,10.1328,2023-08-01
151548,10.168,2023-08-02
151548,10.1948,2023-08-03
151548,10.207,2023-08-04
151548,10.2006,2023-08-07
151548,10.2092,2023-08-08
151548,10.2126,2023-08-09
151548,10.2181,2023-08-10
151548,10.2137,2023-08-11
151548,10.2347,2023-08-14
151548,10.2388,2023-08-16
151548,10.2622,2023-08-18
151548,10.2656,2023-08-21
151548,10.2607,2023-08-22
151548,10.2455,2023-08-23
151548,10.2041,2023-08-24
151548,10.2182,2023-08-25
151548,10.2196,2023-08-29
151548,10.2338,2023-08-30
151548,10.2309,2023-09-01
151548,10.264,2023-09-05
151548,10.2844,2023-09-06
151548,10.2988,2023-09-07
151548,10.2988,2023-09-08
151548,10.279,2023-09-12
151548,10.2814,2023-09-14
151548,10.2937,2023-09-15
151548,10.3136,2023-09-18
151548,10.3227,2023-09-20
151548,10.3133,2023-09-21
151548,10.291,2023-09-22
151548,10.311,2023-09-25
151548,10.3289,2023-09-26
151548,10.3277,2023-09-27
151548,10.3126,2023-09-29
