scheme_code,market_cap,yield_to_maturity,average_maturity,modified_duration,pe_ratio,portfolio_turnover_ratio,row_num
153461,"{'market_cap_large': 99.9942, 'market_cap_mid': 0.0, 'market_cap_others': 0.0058, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",24.036,0.0,1
153401,"{'market_cap_large': 4.9655, 'market_cap_mid': 91.0237, 'market_cap_others': 1.0164, 'market_cap_small': 2.9944}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",51.0271,0.8982,1
118564,"{'market_cap_large': 79.2031, 'market_cap_mid': 10.197, 'market_cap_others': 5.8582, 'market_cap_small': 4.7417}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",48.6838,0.1925,1
149800,"{'market_cap_large': 63.302, 'market_cap_mid': 35.6121, 'market_cap_others': 1.0859, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",56.1663,1.3,1
118692,"{'market_cap_large': 55.1168, 'market_cap_mid': 22.8069, 'market_cap_others': 6.9335, 'market_cap_small': 15.1428}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",36.9695,0.48,1
148524,"{'market_cap_large': 70.1122, 'market_cap_mid': 0.0, 'market_cap_others': 29.8878, 'market_cap_small': 0.0}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",38.5435,0.26,1
120348,"{'market_cap_large': 56.0031, 'market_cap_mid': 23.3221, 'market_cap_others': 5.2788, 'market_cap_small': 15.396}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",39.0547,0.67,1
153025,"{'market_cap_large': 0.0, 'market_cap_mid': 88.8539, 'market_cap_others': 0.4102, 'market_cap_small': 10.7358}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",66.1927,0.25,1
120749,"{'market_cap_large': 69.6191, 'market_cap_mid': 9.9678, 'market_cap_others': 3.1137, 'market_cap_small': 17.2995}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",27.8445,0.25,1
153260,"{'market_cap_large': 61.3614, 'market_cap_mid': 18.6136, 'market_cap_others': 6.7586, 'market_cap_small': 13.2665}",0.0,"{'avg_maturity_days': 0.0, 'avg_maturity_months': 0.0, 'avg_maturity_years': 0.0}","{'modified_maturity_days': 0.0, 'modified_maturity_months': 0.0, 'modified_maturity_years': 0.0}",51.7506,0.0,1
